questionnaire_item_id,question_content
49,You see a US swimmer cheering as a Chinese foe beats his teammate to win the gold.
50,You see a girl ignoring her father's orders by taking the car after her curfew.
51,You see a woman refusing to stand when the judge walks into the courtroom.
52,You see a girl repeatedly interrupting her teacher as he explains a new concept.
53,You see a woman spray painting graffiti across the steps of the local courthouse.
54,You see an intern disobeying an order to dress professionally and comb his hair.
55,You see a man turn his back and walk away while his boss questions his work.
56,You see a staff member talking loudly and interrupting the mayor's speech to the public.
57,You see a teenage girl coming home late and ignoring her parents' strict curfew.
58,You see a boy spray-painting anarchy symbols on the side of the police station.
59,You see an employee trying to undermine all of her boss' ideas in front of others.
60,You see a teaching assistant talking back to the teacher in front of the classrom.
61,You see a group of women having a long and loud conversation during a church sermon.
62,You see a star player ignoring her coach's order to come to the bench during a game.
63,You see a player publicly yelling at his soccer coach during a playoff game.
64,You see a man secretly watching sports on his cell phone during a pastor's sermon.
65,You see a boy turning up the TV as his father talks about his military service.
66,You see a student stating that her professor is a fool during an afternoon class.
67,You see a man having sex with a frozen chicken before cooking it for dinner.
68,You see a very drunk woman making out with multiple strangers on the city bus.
69,You see a family eating the carcass of their pet dog that had been run over.
70,You see a drunk elderly man offering to have oral sex with anyone in the bar.
71,You see a teenager urinating in the wave pool at a crowded amusement park.
72,You see a man in a bar using his phone to watch people having sex with animals.
73,You see a teenage male in a dorm bathroom secretly using a stranger's toothbrush.
74,You see a woman having intimate relations with a recently deceased loved one.
75,You see a homosexual in a gay bar offering sex to anyone who buys him a drink.
76,You see an employee at a morgue eating his pepperoni pizza off of a dead body.
77,You see a girl and her sister making out with each other just for practice.
78,You see a story about a remote tribe eating the flesh of their deceased members.
79,You see a woman burping and farting loudly while eating at a fast food truck.
80,You see a man searching through the trash to find women's discarded underwear.
81,You see two first cousins getting married to each other in an elaborate wedding.
82,You see a single man ordering an inflatable sex doll that looks like his secretary.
83,You see a college student drinking until she vomits on herself and falls asleep.
84,You see a man telling his fiance that she has to switch to his political party.
85,You see a father requiring his son to become a commercial airline pilot like him.
86,You see a man blocking his wife from leaving home or interacting with others.
87,You see a manager coercing her employees into eating at her brother's diner.
88,You see a man telling his girlfriend that she must convert to his religion.
89,You see a mother telling her son that she is going to choose all of his friends.
90,You see a man forbidding his wife to wear clothing that he has not first approved.
91,You see a boss ordering an employee to revoke his citizenship in his home country.
92,You see a boss pressuring employees to buy goods from her family's general store.
93,You see a woman pressuring her daughter to become a famous evening news anchor.
94,You see a public leader on TV trying to ban the wearing of hooded sweatshirts.
95,You see a mother forcing her daughter to enroll as a pre-med student in college.
96,You see a father requiring his son to take up the family restaurant business.
97,You see a teacher ordering a student to get a normal haircut before coming to class.
98,You see a teenager at a cafeteria forcing a younger student to pay for her lunch.
99,You see a mayor trying to ban people from hugging and kissing in public in his city.
100,You see a pastor banning his congregants from wearing bright colors in the church.
101,You see someone using an old rotary phone and refusing to go buy a new one.
102,You see a man staying inside his home with the shades drawn on a rare sunny day.
103,You see a woman drinking her entire cup of coffee using a stirring spoon.
104,You see a woman eating dessert before her main entree arrives on the table.
105,You see a woman continuing to wear a large sun hat inside her apartment complex.
106,You see someone at the school gym lifting free weights in nice business clothes.
107,You see a man eating a bowl of cereal in the morning with water instead of milk.
108,You see a woman using a fork to eat a bowl of vanilla ice cream and marshmallows.
109,You see a man putting ketchup all over his chicken Caesar salad while at lunch.
110,You see a man wearing clothes that are clearly several sizes too big for his body.
111,You see a man walking down a dark hallway while still wearing his sunglasses.
112,You see someone driving around in a dirty car that has not been washed recently.
113,You see a woman watching a game on television in black-and-white instead of color.
114,You see someone reading the ending of a spy novel before reading the beginning.
115,You see a teenage girl wearing a long trench coat on a hot summer afternoon.
116,"You see a woman answering a phone call with the word ""goodbye"" instead of ""hello."
